"Jahr","Raumbezug","Ausprägung","Zuzuege"
2004,"05 Au - Haidhausen","deutsch",5491
2004,"05 Au - Haidhausen","nichtdeutsch",3697
2004,"06 Sendling","deutsch",3668
2004,"06 Sendling","nichtdeutsch",2552
2004,"07 Sendling - Westpark","deutsch",4092
2004,"07 Sendling - Westpark","nichtdeutsch",3102
2004,"08 Schwanthalerhöhe","deutsch",2764
2004,"08 Schwanthalerhöhe","nichtdeutsch",2401
2004,"09 Neuhausen - Nymphenburg","deutsch",7888
2004,"09 Neuhausen - Nymphenburg","nichtdeutsch",6039
2004,"10 Moosach","deutsch",3373
2004,"10 Moosach","nichtdeutsch",3351
2004,"11 Milbertshofen - Am Hart","deutsch",5384
2004,"11 Milbertshofen - Am Hart","nichtdeutsch",7013
2004,"12 Schwabing - Freimann","deutsch",5394
2004,"12 Schwabing - Freimann","nichtdeutsch",5189
2004,"13 Bogenhausen","deutsch",6534
2004,"13 Bogenhausen","nichtdeutsch",3768
2004,"14 Berg am Laim","deutsch",3131
2004,"14 Berg am Laim","nichtdeutsch",2297
2004,"15 Trudering - Riem","deutsch",4589
2004,"15 Trudering - Riem","nichtdeutsch",2798
2004,"16 Ramersdorf - Perlach","deutsch",6731
2004,"16 Ramersdorf - Perlach","nichtdeutsch",6248
2004,"17 Obergiesing - Fasangarten","deutsch",4307
2004,"17 Obergiesing - Fasangarten","nichtdeutsch",4709
2004,"18 Untergiesing - Harlaching","deutsch",4726
2004,"18 Untergiesing - Harlaching","nichtdeutsch",2708
2004,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6618
2004,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",4303
2004,"20 Hadern","deutsch",3336
2004,"20 Hadern","nichtdeutsch",2347
2004,"21 Pasing - Obermenzing","deutsch",5515
2004,"21 Pasing - Obermenzing","nichtdeutsch",3618
2004,"22 Aubing - Lochhausen - Langwied","deutsch",2698
2004,"22 Aubing - Lochhausen - Langwied","nichtdeutsch",1883
2004,"23 Allach - Untermenzing","deutsch",2219
2004,"23 Allach - Untermenzing","nichtdeutsch",1561
2004,"24 Feldmoching - Hasenbergl","deutsch",3353
2004,"24 Feldmoching - Hasenbergl","nichtdeutsch",3660
2004,"25 Laim","deutsch",4061
2004,"25 Laim","nichtdeutsch",2688
2005,"01 Altstadt - Lehel","deutsch",2205
2005,"01 Altstadt - Lehel","nichtdeutsch",1322
2005,"02 Ludwigsvorstadt - Isarvorstadt","deutsch",5416
2005,"02 Ludwigsvorstadt - Isarvorstadt","nichtdeutsch",4718
2005,"03 Maxvorstadt","deutsch",5175
2005,"03 Maxvorstadt","nichtdeutsch",3401
2005,"04 Schwabing - West","deutsch",5998
2005,"04 Schwabing - West","nichtdeutsch",3839
2005,"05 Au - Haidhausen","deutsch",6117
2005,"05 Au - Haidhausen","nichtdeutsch",3379
2005,"06 Sendling","deutsch",3494
2005,"06 Sendling","nichtdeutsch",2433
2005,"07 Sendling - Westpark","deutsch",4307
2005,"07 Sendling - Westpark","nichtdeutsch",2838
2005,"08 Schwanthalerhöhe","deutsch",2426
2005,"08 Schwanthalerhöhe","nichtdeutsch",2200
2005,"09 Neuhausen - Nymphenburg","deutsch",7902
2005,"09 Neuhausen - Nymphenburg","nichtdeutsch",5444
2005,"10 Moosach","deutsch",3244
2005,"10 Moosach","nichtdeutsch",3218
2005,"11 Milbertshofen - Am Hart","deutsch",5212
2005,"11 Milbertshofen - Am Hart","nichtdeutsch",7310
2005,"12 Schwabing - Freimann","deutsch",5700
2005,"12 Schwabing - Freimann","nichtdeutsch",4981
2005,"13 Bogenhausen","deutsch",6484
2005,"13 Bogenhausen","nichtdeutsch",3709
2005,"14 Berg am Laim","deutsch",2998
2005,"14 Berg am Laim","nichtdeutsch",2380
2005,"15 Trudering - Riem","deutsch",5376
2005,"15 Trudering - Riem","nichtdeutsch",2830
2005,"16 Ramersdorf - Perlach","deutsch",6946
2005,"16 Ramersdorf - Perlach","nichtdeutsch",5960
2005,"17 Obergiesing - Fasangarten","deutsch",4606
2005,"17 Obergiesing - Fasangarten","nichtdeutsch",3289
2005,"18 Untergiesing - Harlaching","deutsch",5061
2005,"18 Untergiesing - Harlaching","nichtdeutsch",2764
2005,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","deutsch",6833
2005,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","nichtdeutsch",5086
2005,"20 Hadern","deutsch",3346
2005,"20 Hadern","nichtdeutsch",2261
