"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert"
"Mobilitätsziffer","deutsch",2024,"14 Berg am Laim",151.5,"3",1223,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"14 Berg am Laim",151.5,"4",1314,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"14 Berg am Laim",151.5,"5",30716.9,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"15 Trudering - Riem",141.5,"1",1521,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"15 Trudering - Riem",141.5,"2",2265,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"15 Trudering - Riem",141.5,"3",2193,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"15 Trudering - Riem",141.5,"4",2058,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"15 Trudering - Riem",141.5,"5",56813.8,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"16 Ramersdorf - Perlach",141.1,"1",1969,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"16 Ramersdorf - Perlach",141.1,"2",3006,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"16 Ramersdorf - Perlach",141.1,"3",2791,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"16 Ramersdorf - Perlach",141.1,"4",3062,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"16 Ramersdorf - Perlach",141.1,"5",76727.3,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"17 Obergiesing - Fasangarten",188.1,"1",1369,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"17 Obergiesing - Fasangarten",188.1,"2",1939,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"17 Obergiesing - Fasangarten",188.1,"3",1701,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"17 Obergiesing - Fasangarten",188.1,"4",1846,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"17 Obergiesing - Fasangarten",188.1,"5",36437.3,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"18 Untergiesing - Harlaching",184.2,"1",1348,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"18 Untergiesing - Harlaching",184.2,"2",2199,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"18 Untergiesing - Harlaching",184.2,"3",1843,"außerstädtisch Weggezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"18 Untergiesing - Harlaching",184.2,"4",2007,"innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
"Mobilitätsziffer","deutsch",2024,"18 Untergiesing - Harlaching",184.2,"5",40166.1,"mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",169.5,"1",2311,"außerstädtisch Zugezogene (deutsch)"
"Mobilitätsziffer","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",169.5,"2",3628,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)"
