"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt"
"5","Au - Haidhausen",5063,2012,3798,8861
"6","Sendling",3311,2012,2383,5694
"7","Sendling - Westpark",3933,2012,2926,6859
"8","Schwanthalerhöhe",2741,2012,2204,4945
"9","Neuhausen - Nymphenburg",7346,2012,6165,13511
"10","Moosach",3799,2012,3494,7293
"11","Milbertshofen - Am Hart",6275,2012,4761,11036
"12","Schwabing - Freimann",6058,2012,4964,11022
"13","Bogenhausen",5077,2012,4639,9716
"14","Berg am Laim",3212,2012,2277,5489
"15","Trudering - Riem",3591,2012,3879,7470
"16","Ramersdorf - Perlach",6600,2012,5576,12176
"17","Obergiesing - Fasangarten",4478,2012,4420,8898
"18","Untergiesing - Harlaching",4340,2012,3224,7564
"19","Thalkirchen",5843,2012,7743,13586
"20","Hadern",2886,2012,2542,5428
"21","Pasing - Obermenzing",4329,2012,4086,8415
"22","Aubing",2247,2012,2185,4432
"23","Allach - Untermenzing",1806,2012,1703,3509
"24","Feldmoching - Hasenbergl",3387,2012,3153,6540
"25","Laim",3845,2012,2952,6797
"1","Altstadt - Lehel",1926,2013,1844,3770
"2","Ludwigsvorstadt - Isarvorstadt",5599,2013,5103,10702
"3","Maxvorstadt",5414,2013,4448,9862
"4","Schwabing - West",5526,2013,4422,9948
"5","Au - Haidhausen",5193,2013,4075,9268
"6","Sendling",3239,2013,2648,5887
"7","Sendling - Westpark",3891,2013,3361,7252
"8","Schwanthalerhöhe",2668,2013,2096,4764
"9","Neuhausen - Nymphenburg",7646,2013,6741,14387
"10","Moosach",3678,2013,4233,7911
"11","Milbertshofen - Am Hart",6230,2013,5488,11718
"12","Schwabing - Freimann",5806,2013,5736,11542
"13","Bogenhausen",4938,2013,5221,10159
"14","Berg am Laim",2974,2013,2525,5499
"15","Trudering - Riem",3193,2013,3916,7109
"16","Ramersdorf - Perlach",6370,2013,6206,12576
"17","Obergiesing - Fasangarten",4064,2013,4994,9058
"18","Untergiesing - Harlaching",4149,2013,3511,7660
"19","Thalkirchen",6283,2013,12727,19010
"20","Hadern",2986,2013,2708,5694
"21","Pasing - Obermenzing",4225,2013,4615,8840
"22","Aubing",2210,2013,2687,4897
"23","Allach - Untermenzing",1742,2013,2013,3755
"24","Feldmoching - Hasenbergl",3458,2013,3584,7042
"25","Laim",4023,2013,2984,7007
"1","Altstadt - Lehel",1951,2014,1606,3557
"2","Ludwigsvorstadt - Isarvorstadt",5735,2014,4937,10672
"3","Maxvorstadt",5363,2014,4192,9555
"4","Schwabing - West",5727,2014,4164,9891
"5","Au - Haidhausen",5186,2014,3653,8839
"6","Sendling",3340,2014,2611,5951
"7","Sendling - Westpark",3923,2014,3147,7070
"8","Schwanthalerhöhe",2653,2014,2014,4667
"9","Neuhausen - Nymphenburg",7399,2014,6061,13460
"10","Moosach",3539,2014,3656,7195
"11","Milbertshofen - Am Hart",6415,2014,5645,12060
"12","Schwabing - Freimann",6346,2014,10625,16971
"13","Bogenhausen",4715,2014,4922,9637
"14","Berg am Laim",3067,2014,2305,5372
"15","Trudering - Riem",3513,2014,3790,7303
"16","Ramersdorf - Perlach",6725,2014,5630,12355
"17","Obergiesing - Fasangarten",3923,2014,3838,7761
"18","Untergiesing - Harlaching",4388,2014,3150,7538
"19","Thalkirchen",7421,2014,6768,14189
"20","Hadern",2938,2014,2650,5588
"21","Pasing - Obermenzing",4381,2014,4251,8632
"22","Aubing",2306,2014,2542,4848
"23","Allach - Untermenzing",1720,2014,1928,3648
"24","Feldmoching - Hasenbergl",3474,2014,3237,6711
"25","Laim",3740,2014,3164,6904
"1","Altstadt - Lehel",1761,2015,1535,3296
"2","Ludwigsvorstadt - Isarvorstadt",5398,2015,5279,10677
"3","Maxvorstadt",5186,2015,4464,9650
"4","Schwabing - West",5943,2015,4276,10219
"5","Au - Haidhausen",4899,2015,3941,8840
"6","Sendling",3180,2015,2581,5761
"7","Sendling - Westpark",4233,2015,3421,7654
"8","Schwanthalerhöhe",2575,2015,2012,4587
"9","Neuhausen - Nymphenburg",7526,2015,6269,13795
"10","Moosach",3764,2015,3459,7223
"11","Milbertshofen - Am Hart",5982,2015,5699,11681
"12","Schwabing - Freimann",6437,2015,7548,13985
"13","Bogenhausen",5081,2015,4916,9997
"14","Berg am Laim",3297,2015,2375,5672
"15","Trudering - Riem",4149,2015,3608,7757
"16","Ramersdorf - Perlach",7168,2015,5779,12947
"17","Obergiesing - Fasangarten",3992,2015,3645,7637
"18","Untergiesing - Harlaching",4257,2015,3244,7501
"19","Thalkirchen",6545,2015,5663,12208
"20","Hadern",3254,2015,2902,6156
"21","Pasing - Obermenzing",4880,2015,4283,9163
"22","Aubing",2894,2015,2846,5740
"23","Allach - Untermenzing",1916,2015,1824,3740
"24","Feldmoching - Hasenbergl",4076,2015,3325,7401
"25","Laim",4160,2015,3165,7325
"1","Altstadt - Lehel",1926,2016,1674,3600
"2","Ludwigsvorstadt - Isarvorstadt",5336,2016,4946,10282
"3","Maxvorstadt",6500,2016,4911,11411
"4","Schwabing - West",5732,2016,4433,10165
"5","Au - Haidhausen",4862,2016,4122,8984
"6","Sendling",3136,2016,2579,5715
"7","Sendling - Westpark",4286,2016,3424,7710
