"Anfangsbezirk_Nr","Anfangsbezirk","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"4","Schwabing - West",2012,4054,9836,1355,1830,2597
"5","Au - Haidhausen",2012,3798,8861,1261,1464,2338
"6","Sendling",2012,2383,5694,563,1072,1676
"7","Sendling - Westpark",2012,2926,6859,898,1126,1909
"8","Schwanthalerhöhe",2012,2204,4945,560,807,1374
"9","Neuhausen - Nymphenburg",2012,6165,13511,2051,2163,3132
"10","Moosach",2012,3494,7293,1084,1118,1597
"11","Milbertshofen - Am Hart",2012,4761,11036,1839,1733,2703
"12","Schwabing - Freimann",2012,4964,11022,1622,1712,2724
"13","Bogenhausen",2012,4639,9716,1936,959,2182
"14","Berg am Laim",2012,2277,5489,794,1035,1383
"15","Trudering - Riem",2012,3879,7470,1381,735,1475
"16","Ramersdorf - Perlach",2012,5576,12176,2165,1598,2837
"17","Obergiesing - Fasangarten",2012,4420,8898,898,992,2588
"18","Untergiesing - Harlaching",2012,3224,7564,1089,1182,2069
"19","Thalkirchen",2012,7743,13586,2074,918,2851
"20","Hadern",2012,2542,5428,820,736,1330
"21","Pasing - Obermenzing",2012,4086,8415,1365,1145,1819
"22","Aubing",2012,2185,4432,788,274,1185
"23","Allach - Untermenzing",2012,1703,3509,608,395,803
"24","Feldmoching - Hasenbergl",2012,3153,6540,1154,631,1602
"25","Laim",2012,2952,6797,920,1022,1903
"1","Altstadt - Lehel",2013,1844,3770,248,709,969
"2","Ludwigsvorstadt - Isarvorstadt",2013,5103,10702,1024,1221,3354
"3","Maxvorstadt",2013,4448,9862,973,1697,2744
"4","Schwabing - West",2013,4422,9948,1110,1611,2805
"5","Au - Haidhausen",2013,4075,9268,1114,1528,2551
"6","Sendling",2013,2648,5887,564,941,1734
"7","Sendling - Westpark",2013,3361,7252,872,1039,1980
"8","Schwanthalerhöhe",2013,2096,4764,460,817,1391
"9","Neuhausen - Nymphenburg",2013,6741,14387,2266,2111,3269
"10","Moosach",2013,4233,7911,982,1065,1631
"11","Milbertshofen - Am Hart",2013,5488,11718,1589,1884,2757
"12","Schwabing - Freimann",2013,5736,11542,1310,1698,2798
"13","Bogenhausen",2013,5221,10159,1786,1007,2145
"14","Berg am Laim",2013,2525,5499,650,932,1392
"15","Trudering - Riem",2013,3916,7109,1270,588,1335
"16","Ramersdorf - Perlach",2013,6206,12576,2075,1384,2911
"17","Obergiesing - Fasangarten",2013,4994,9058,865,874,2325
"18","Untergiesing - Harlaching",2013,3511,7660,1014,1104,2031
"19","Thalkirchen",2013,12727,19010,2085,977,3221
"20","Hadern",2013,2708,5694,898,729,1359
"21","Pasing - Obermenzing",2013,4615,8840,1213,1091,1921
"22","Aubing",2013,2687,4897,750,289,1171
"23","Allach - Untermenzing",2013,2013,3755,496,415,831
"24","Feldmoching - Hasenbergl",2013,3584,7042,1106,606,1746
"25","Laim",2013,2984,7007,855,1148,2020
"1","Altstadt - Lehel",2014,1606,3557,249,738,964
"2","Ludwigsvorstadt - Isarvorstadt",2014,4937,10672,1023,1227,3485
"3","Maxvorstadt",2014,4192,9555,899,1686,2778
"4","Schwabing - West",2014,4164,9891,1281,1673,2773
"5","Au - Haidhausen",2014,3653,8839,1093,1564,2529
"6","Sendling",2014,2611,5951,573,1036,1731
"7","Sendling - Westpark",2014,3147,7070,891,1097,1935
"8","Schwanthalerhöhe",2014,2014,4667,504,771,1378
"9","Neuhausen - Nymphenburg",2014,6061,13460,2036,2179,3184
"10","Moosach",2014,3656,7195,874,949,1716
"11","Milbertshofen - Am Hart",2014,5645,12060,1756,1891,2768
"12","Schwabing - Freimann",2014,10625,16971,1442,1650,3254
"13","Bogenhausen",2014,4922,9637,1667,881,2167
"14","Berg am Laim",2014,2305,5372,593,961,1513
"15","Trudering - Riem",2014,3790,7303,1218,762,1533
"16","Ramersdorf - Perlach",2014,5630,12355,2085,1526,3114
"17","Obergiesing - Fasangarten",2014,3838,7761,834,905,2184
"18","Untergiesing - Harlaching",2014,3150,7538,1003,1150,2235
"19","Thalkirchen",2014,6768,14189,2007,952,4462
"20","Hadern",2014,2650,5588,757,697,1484
"21","Pasing - Obermenzing",2014,4251,8632,1260,1108,2013
"22","Aubing",2014,2542,4848,629,318,1359
"23","Allach - Untermenzing",2014,1928,3648,534,395,791
"24","Feldmoching - Hasenbergl",2014,3237,6711,1064,677,1733
"25","Laim",2014,3164,6904,811,968,1961
"1","Altstadt - Lehel",2015,1535,3296,205,673,883
"2","Ludwigsvorstadt - Isarvorstadt",2015,5279,10677,1036,1210,3152
"3","Maxvorstadt",2015,4464,9650,967,1509,2710
"4","Schwabing - West",2015,4276,10219,1301,1957,2685
"5","Au - Haidhausen",2015,3941,8840,1012,1417,2470
"6","Sendling",2015,2581,5761,412,949,1819
"7","Sendling - Westpark",2015,3421,7654,852,1103,2278
"8","Schwanthalerhöhe",2015,2012,4587,489,798,1288
"9","Neuhausen - Nymphenburg",2015,6269,13795,2029,2327,3170
"10","Moosach",2015,3459,7223,878,1074,1812
"11","Milbertshofen - Am Hart",2015,5699,11681,1529,1782,2671
"12","Schwabing - Freimann",2015,7548,13985,1424,1790,3223
"13","Bogenhausen",2015,4916,9997,1621,1177,2283
"14","Berg am Laim",2015,2375,5672,605,1029,1663
"15","Trudering - Riem",2015,3608,7757,1351,807,1991
"16","Ramersdorf - Perlach",2015,5779,12947,1950,1638,3580
"17","Obergiesing - Fasangarten",2015,3645,7637,718,892,2382
"18","Untergiesing - Harlaching",2015,3244,7501,828,1242,2187
"19","Thalkirchen",2015,5663,12208,1945,1154,3446
"20","Hadern",2015,2902,6156,821,871,1562
"21","Pasing - Obermenzing",2015,4283,9163,1265,1287,2328
"22","Aubing",2015,2846,5740,702,395,1797
"23","Allach - Untermenzing",2015,1824,3740,496,489,931
"24","Feldmoching - Hasenbergl",2015,3325,7401,1076,758,2242
"25","Laim",2015,3165,7325,834,1107,2219
"1","Altstadt - Lehel",2016,1674,3600,196,716,1014
"2","Ludwigsvorstadt - Isarvorstadt",2016,4946,10282,785,1072,3479
"3","Maxvorstadt",2016,4911,11411,773,1724,4003
"4","Schwabing - West",2016,4433,10165,1177,1814,2741
"5","Au - Haidhausen",2016,4122,8984,920,1467,2475
"6","Sendling",2016,2579,5715,413,952,1771
"7","Sendling - Westpark",2016,3424,7710,912,1136,2238
"8","Schwanthalerhöhe",2016,2156,4607,392,802,1257
"9","Neuhausen - Nymphenburg",2016,6313,13672,1843,2296,3220
"10","Moosach",2016,3496,7376,907,1133,1840
"11","Milbertshofen - Am Hart",2016,6090,12514,1409,1859,3156
"12","Schwabing - Freimann",2016,9956,17451,1522,1876,4097
"13","Bogenhausen",2016,5264,11387,2010,1354,2759
"14","Berg am Laim",2016,2666,5413,563,866,1318
"15","Trudering - Riem",2016,4070,7763,1166,734,1793
"16","Ramersdorf - Perlach",2016,6062,12214,1869,1300,2983
"17","Obergiesing - Fasangarten",2016,3926,7759,653,834,2346
"18","Untergiesing - Harlaching",2016,3390,7859,1143,1035,2291
"19","Thalkirchen",2016,5977,12047,1782,1058,3230
"20","Hadern",2016,3049,6307,793,984,1481
"21","Pasing - Obermenzing",2016,5232,9660,1289,1103,2036
"22","Aubing",2016,2989,5663,951,316,1407
"23","Allach - Untermenzing",2016,2170,4012,467,478,897
"24","Feldmoching - Hasenbergl",2016,4402,7960,992,645,1921
"25","Laim",2016,3257,7092,712,995,2128
"1","Altstadt - Lehel",2017,2301,4151,217,705,928
"2","Ludwigsvorstadt - Isarvorstadt",2017,8490,13743,703,1150,3400
"3","Maxvorstadt",2017,7070,12286,772,1524,2920
"4","Schwabing - West",2017,6120,11737,1087,1686,2844
"5","Au - Haidhausen",2017,5568,10682,1061,1482,2571
"6","Sendling",2017,3526,6465,389,818,1732
"7","Sendling - Westpark",2017,4146,8017,798,1007,2066
"8","Schwanthalerhöhe",2017,2994,5269,357,667,1251
"9","Neuhausen - Nymphenburg",2017,7923,14771,1670,2010,3168
"10","Moosach",2017,4069,7923,849,1018,1987
"11","Milbertshofen - Am Hart",2017,7807,13842,1405,1863,2767
"12","Schwabing - Freimann",2017,11433,18878,1846,1983,3616
"13","Bogenhausen",2017,7174,12183,1475,1116,2418
"14","Berg am Laim",2017,3313,6063,503,982,1265
"15","Trudering - Riem",2017,5634,9128,1166,720,1608
"16","Ramersdorf - Perlach",2017,7485,13915,1912,1398,3120
"17","Obergiesing - Fasangarten",2017,5284,9317,681,986,2366
"18","Untergiesing - Harlaching",2017,4520,9082,835,1128,2599
"19","Thalkirchen",2017,7554,14307,1939,1069,3745
"20","Hadern",2017,3861,7045,739,816,1629
"21","Pasing - Obermenzing",2017,5788,10320,1126,1211,2195
"22","Aubing",2017,3971,6512,686,290,1565
"23","Allach - Untermenzing",2017,2738,4600,426,480,956
"24","Feldmoching - Hasenbergl",2017,4613,8204,963,753,1875
"25","Laim",2017,4057,7879,709,1012,2101
"1","Altstadt - Lehel",2018,1835,3603,189,727,852
"2","Ludwigsvorstadt - Isarvorstadt",2018,5116,10259,780,1031,3332
"3","Maxvorstadt",2018,4695,10129,821,1584,3029
"4","Schwabing - West",2018,4583,10290,990,1827,2890
"5","Au - Haidhausen",2018,4039,8898,888,1521,2450
