"Anfangsbezirk_Nr","Anfangsbezirk","innerstaedtisch","Jahr","außerstaedtisch","insgesamt","selber_Bezirk","Nachbarbezirke","Restbezirke"
"8","Schwanthalerhöhe",2275,2017,2994,5269,357,667,1251
"9","Neuhausen - Nymphenburg",6848,2017,7923,14771,1670,2010,3168
"10","Moosach",3854,2017,4069,7923,849,1018,1987
"11","Milbertshofen - Am Hart",6035,2017,7807,13842,1405,1863,2767
"12","Schwabing - Freimann",7445,2017,11433,18878,1846,1983,3616
"13","Bogenhausen",5009,2017,7174,12183,1475,1116,2418
"14","Berg am Laim",2750,2017,3313,6063,503,982,1265
"15","Trudering - Riem",3494,2017,5634,9128,1166,720,1608
"16","Ramersdorf - Perlach",6430,2017,7485,13915,1912,1398,3120
"17","Obergiesing - Fasangarten",4033,2017,5284,9317,681,986,2366
"18","Untergiesing - Harlaching",4562,2017,4520,9082,835,1128,2599
"19","Thalkirchen",6753,2017,7554,14307,1939,1069,3745
"20","Hadern",3184,2017,3861,7045,739,816,1629
"21","Pasing - Obermenzing",4532,2017,5788,10320,1126,1211,2195
"22","Aubing",2541,2017,3971,6512,686,290,1565
"23","Allach - Untermenzing",1862,2017,2738,4600,426,480,956
"24","Feldmoching - Hasenbergl",3591,2017,4613,8204,963,753,1875
"25","Laim",3822,2017,4057,7879,709,1012,2101
"1","Altstadt - Lehel",1768,2018,1835,3603,189,727,852
"2","Ludwigsvorstadt - Isarvorstadt",5143,2018,5116,10259,780,1031,3332
"3","Maxvorstadt",5434,2018,4695,10129,821,1584,3029
"4","Schwabing - West",5707,2018,4583,10290,990,1827,2890
"5","Au - Haidhausen",4859,2018,4039,8898,888,1521,2450
"6","Sendling",3059,2018,2529,5588,475,850,1734
"7","Sendling - Westpark",3731,2018,3352,7083,665,983,2083
"8","Schwanthalerhöhe",2262,2018,2009,4271,387,714,1161
"9","Neuhausen - Nymphenburg",7151,2018,6998,14149,1790,2128,3233
"10","Moosach",3782,2018,3344,7126,863,970,1949
"11","Milbertshofen - Am Hart",6128,2018,5771,11899,1326,1815,2987
"12","Schwabing - Freimann",7150,2018,8767,15917,1897,1802,3451
"13","Bogenhausen",5030,2018,5226,10256,1723,1015,2292
"14","Berg am Laim",2644,2018,2453,5097,442,876,1326
"15","Trudering - Riem",3674,2018,3938,7612,1129,782,1763
"16","Ramersdorf - Perlach",6399,2018,5891,12290,1909,1277,3213
"17","Obergiesing - Fasangarten",3700,2018,4568,8268,618,841,2241
"18","Untergiesing - Harlaching",3692,2018,3251,6943,755,950,1987
"19","Thalkirchen",6360,2018,6216,12576,1828,1017,3515
"20","Hadern",2905,2018,3129,6034,632,707,1566
"21","Pasing - Obermenzing",4766,2018,5064,9830,1216,1238,2312
"22","Aubing",2616,2018,3528,6144,696,327,1593
"23","Allach - Untermenzing",1976,2018,2407,4383,517,523,936
"24","Feldmoching - Hasenbergl",3499,2018,3314,6813,863,607,2029
"25","Laim",3967,2018,3326,7293,682,997,2288
"1","Altstadt - Lehel",1898,2019,1584,3482,216,732,950
"2","Ludwigsvorstadt - Isarvorstadt",5269,2019,4221,9490,733,1045,3491
"3","Maxvorstadt",5435,2019,4181,9616,812,1708,2915
"4","Schwabing - West",5836,2019,4237,10073,1070,1792,2974
"5","Au - Haidhausen",4971,2019,3787,8758,886,1507,2578
"6","Sendling",3205,2019,2448,5653,436,996,1773
"7","Sendling - Westpark",3924,2019,3197,7121,721,1047,2156
"8","Schwanthalerhöhe",2317,2019,2139,4456,360,747,1210
"9","Neuhausen - Nymphenburg",7515,2019,6187,13702,1913,2196,3406
"10","Moosach",3954,2019,3389,7343,788,1194,1972
"11","Milbertshofen - Am Hart",6212,2019,5471,11683,1516,1753,2943
"12","Schwabing - Freimann",7129,2019,7918,15047,1803,1870,3456
"13","Bogenhausen",5359,2019,5144,10503,1770,1158,2431
"14","Berg am Laim",2788,2019,2615,5403,464,875,1449
"15","Trudering - Riem",4143,2019,4282,8425,1283,925,1935
"16","Ramersdorf - Perlach",6620,2019,6199,12819,1957,1249,3414
"17","Obergiesing - Fasangarten",3832,2019,3829,7661,601,855,2376
"18","Untergiesing - Harlaching",4098,2019,3143,7241,858,1025,2215
"19","Thalkirchen",6588,2019,6220,12808,2011,974,3603
"20","Hadern",3023,2019,2929,5952,704,781,1538
"21","Pasing - Obermenzing",4799,2019,4673,9472,1217,1241,2341
"22","Aubing",2773,2019,3222,5995,679,402,1692
"23","Allach - Untermenzing",2170,2019,2415,4585,611,518,1041
"24","Feldmoching - Hasenbergl",3746,2019,3460,7206,983,715,2048
"25","Laim",4056,2019,3070,7126,736,1127,2193
"1","Altstadt - Lehel",1761,2020,1495,3256,224,648,889
"2","Ludwigsvorstadt - Isarvorstadt",5277,2020,3732,9009,794,1145,3338
"3","Maxvorstadt",5590,2020,4052,9642,861,1694,3035
"4","Schwabing - West",6050,2020,4258,10308,1172,1814,3064
"5","Au - Haidhausen",5133,2020,3466,8599,1074,1544,2515
"6","Sendling",3292,2020,2384,5676,413,1039,1840
"7","Sendling - Westpark",4040,2020,3064,7104,744,1159,2137
"8","Schwanthalerhöhe",2296,2020,1637,3933,345,721,1230
"9","Neuhausen - Nymphenburg",7794,2020,5700,13494,1975,2351,3468
"10","Moosach",4061,2020,3351,7412,958,1182,1921
"11","Milbertshofen - Am Hart",6058,2020,4880,10938,1318,1783,2957
"12","Schwabing - Freimann",9337,2020,7896,17233,3861,1858,3618
"13","Bogenhausen",5557,2020,4778,10335,2008,1086,2463
"14","Berg am Laim",2931,2020,2362,5293,450,1038,1443
"15","Trudering - Riem",3725,2020,4063,7788,1206,835,1684
"16","Ramersdorf - Perlach",6454,2020,5691,12145,1842,1286,3326
"17","Obergiesing - Fasangarten",4050,2020,3634,7684,654,929,2467
"18","Untergiesing - Harlaching",4083,2020,2977,7060,897,1108,2078
"19","Thalkirchen",6588,2020,5703,12291,2173,979,3436
"20","Hadern",3032,2020,2731,5763,763,779,1490
"21","Pasing - Obermenzing",4827,2020,4361,9188,1249,1261,2317
"22","Aubing",2643,2020,3048,5691,751,299,1593
"23","Allach - Untermenzing",1980,2020,2500,4480,497,513,970
"24","Feldmoching - Hasenbergl",3600,2020,3096,6696,1028,608,1964
"25","Laim",4168,2020,3062,7230,751,1210,2207
"1","Altstadt - Lehel",2048,2021,1862,3910,275,791,982
"2","Ludwigsvorstadt - Isarvorstadt",5689,2021,4610,10299,913,1225,3551
"3","Maxvorstadt",6200,2021,4690,10890,940,2076,3184
"4","Schwabing - West",6630,2021,4964,11594,1366,1986,3278
"5","Au - Haidhausen",5655,2021,4401,10056,1162,1681,2812
"6","Sendling",3458,2021,2804,6262,521,1151,1786
"7","Sendling - Westpark",4238,2021,3627,7865,816,1216,2206
"8","Schwanthalerhöhe",2524,2021,1926,4450,405,858,1261
"9","Neuhausen - Nymphenburg",8050,2021,6200,14250,1962,2563,3525
"10","Moosach",4510,2021,3519,8029,967,1355,2188
"11","Milbertshofen - Am Hart",6497,2021,5770,12267,1365,1987,3145
"12","Schwabing - Freimann",12562,2021,10494,23056,6265,2261,4036
